shoe_name,release_date,brand,model,shoe_id,color,time,quantity,shoe_size,price,currency
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:25:42+00:00,259.0,11,259,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:25:34+00:00,263.0,9,263,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:25:13+00:00,270.0,12,270,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:24:38+00:00,254.0,11,254,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:23:36+00:00,273.0,13,273,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:22:07+00:00,265.0,10.5,265,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:20:41+00:00,268.0,12,268,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:19:11+00:00,270.0,12,270,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:18:27+00:00,270.0,12,270,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:16:10+00:00,268.0,12,268,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:16:05+00:00,315.0,15,315,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:14:33+00:00,269.0,12,269,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:13:34+00:00,263.0,9,263,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:12:18+00:00,261.0,9,261,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:09:44+00:00,268.0,11.5,268,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:02:42+00:00,268.0,11.5,268,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T22:02:32+00:00,264.0,10,264,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T21:59:04+00:00,265.0,10.5,265,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T21:58:34+00:00,265.0,10.5,265,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T21:58:14+00:00,263.0,9,263,USD
Jordan 3 Retro UNC (2020),2020-03-07,Jordan,Jordan 3 Retro,652d8004-d441-466d-a725-21d48600f624,White/Valor Blue-Tech Grey,2020-03-10T21:56:24+00:00,256.0,11,256,USD
